,0
0,215.66599
1,133.38022
2,147.53923
3,92.09978
4,55.11378
5,111.95595
6,70.59379
7,54.900784
8,34.686882
9,38.62729
10,38.23966
11,39.94959
12,35.57312
13,31.388575
14,29.836304
15,29.89835
16,30.656607
17,32.818516
18,32.61772
19,31.13823
20,31.357023
21,30.870731
22,30.227575
23,30.202524
24,29.345806
25,30.072252
26,30.041914
27,29.067858
28,30.384474
29,30.483894
30,29.662071
31,29.947231
32,30.165573
33,30.523285
34,29.435665
35,29.932251
36,30.2139
37,30.041508
38,29.716314
39,30.045628
40,29.39166
41,29.923279
42,30.119642
43,30.053911
44,29.350697
45,29.738913
46,29.850004
47,30.614801
48,30.56929
49,29.329865
50,29.46676
51,30.11884
52,29.928534
53,29.51749
54,29.147495
55,29.245005
56,28.913845
57,29.78523
58,29.281118
59,29.195644
60,29.17201
61,29.435465
62,29.324806
63,29.45351
64,29.52124
65,28.66985
66,29.164814
67,29.095413
68,29.144148
69,29.10931
70,29.023672
71,29.252796
72,28.811275
73,29.26807
74,29.083166
75,28.89061
76,28.848444
77,29.048424
78,29.230885
79,28.771885
80,28.759716
81,28.626438
82,28.794485
83,28.656418
84,28.67717
85,28.935377
86,29.273167
87,28.414936
88,29.06797
89,29.239723
90,28.873627
91,28.472286
92,28.751648
93,29.056522
94,28.521774
95,28.895592
96,29.163013
97,29.261868
98,28.460428
99,28.452341
100,29.097088
101,28.544353
102,28.814579
103,28.276367
104,28.53533
105,28.706217
106,28.597492
107,29.111149
108,28.782581
109,28.660952
110,28.535677
111,28.649036
112,28.83765
113,28.322018
114,28.966154
115,28.626617
116,28.92814
117,28.657488
118,28.957558
119,28.781572
120,28.6708
121,28.956259
122,28.592052
123,28.675587
124,28.918009
125,28.293575
126,28.817587
127,29.344038
128,28.579716
129,29.3294
130,28.623835
131,29.064798
132,28.968046
133,28.770412
134,28.721054
135,28.784676
136,28.873787
137,28.665483
138,28.546284
139,28.772245
140,28.753847
141,28.476608
142,28.998713
143,28.639984
144,28.61404
145,28.550594
146,28.803434
147,28.687653
148,28.990185
149,28.915071
150,28.688128
151,28.68489
152,28.468086
153,28.748884
154,28.571007
155,28.69395
156,28.760225
157,28.92416
158,28.888262
159,28.614824
160,29.159058
161,28.573362
162,28.615635
163,28.931765
164,28.594059
165,28.440184
166,29.03764
167,28.741632
168,28.89297
169,28.555786
170,28.72932
171,28.583263
172,28.87277
173,28.56696
174,28.720043
175,28.60016
176,28.749622
177,28.655188
178,28.797707
179,28.629208
180,28.786985
181,28.683628
182,28.881626
183,28.53139
184,28.656017
185,28.76421
186,28.556383
187,28.673428
188,28.489075
189,28.666414
190,28.581549
191,28.61287
192,28.48429
193,28.720127
194,29.19
195,28.679401
196,28.564415
197,28.605663
198,28.732088
199,28.612938
200,28.635717
201,28.90328
202,28.431166
203,28.515545
204,28.952126
205,28.580706
206,28.656658
207,28.583973
208,28.628975
209,28.641375
210,28.602196
211,28.638548
212,28.357359
213,29.03894
214,28.90815
215,28.668703
216,28.693182
217,28.697346
218,28.574255
219,28.736004
220,28.982172
221,28.689062
222,28.81603
223,28.661732
224,28.658741
225,28.607101
226,29.060228
227,28.77081
228,28.50534
229,28.446926
230,28.589361
231,28.723728
232,28.526033
233,28.700241
234,29.39671
235,28.555923
236,29.0831
237,28.773619
238,28.7795
239,28.674906
240,28.57877
241,28.717728
242,28.361198
243,28.565857
244,28.63227
245,28.759083
246,28.75858
247,28.859148
248,28.520966
249,28.941769
250,28.841667
251,28.858711
252,28.880106
253,28.67166
254,29.13638
255,28.573343
256,28.806927
257,28.692112
258,28.678043
259,28.951998
260,28.974308
261,28.84828
262,28.60043
263,28.925507
264,28.740616
265,28.509527
266,28.541006
267,28.69589
268,28.823719
269,28.329851
270,28.894749
271,28.659834
272,28.70567
273,28.601175
274,28.90882
275,28.827923
276,28.789589
277,28.651838
278,28.779821
279,28.681732
280,28.620163
281,28.662106
282,29.129818
283,28.378658
284,28.837229
285,28.42031
286,28.740112
287,28.797045
288,28.569933
289,28.959377
290,28.705723
291,29.071957
292,28.60575
293,28.760101
294,28.805195
295,28.630735
296,28.634747
297,28.733013
298,28.740772
299,28.465158
300,28.712986
301,28.50985
302,28.768606
303,28.841234
304,28.919199
305,28.567446
306,28.55475
307,28.76951
308,28.80249
309,28.799213
310,28.711586
311,28.678993
312,28.556879
313,28.658068
314,28.454887
315,28.895668
316,28.356623
317,29.13619
318,28.786032
319,28.704065
320,28.900896
321,28.696127
322,28.679596
323,29.102814
324,28.96316
325,28.771223
326,28.704357
327,28.615885
328,28.679539
329,28.571796
330,28.819744
331,29.008858
332,28.600645
333,28.578468
334,28.778072
335,28.673262
336,28.409523
337,28.684515
338,28.563911
339,28.619467
340,28.97103
341,28.545195
342,28.872139
343,28.634386
344,28.66991
345,28.860247
346,28.786194
347,28.793661
348,28.615845
349,28.584023
350,28.639118
351,28.888445
352,28.645021
353,28.851168
354,28.613708
355,29.100412
356,28.699781
357,28.397568
358,28.417278
359,28.863827
360,28.801167
361,28.45234
362,28.414173
363,28.645155
364,28.403744
365,29.051584
366,29.033155
367,28.651394
368,28.93297
369,29.160597
370,28.577068
371,28.832901
372,28.625528
373,28.566061
374,28.7599
375,28.608526
376,28.650263
377,28.728373
378,28.442614
379,28.654724
380,29.112848
381,28.776604
382,28.564049
383,28.95086
384,28.720459
385,28.730417
386,28.65704
387,28.939249
388,28.85062
389,29.18585
390,28.773096
391,28.733343
392,28.591896
393,28.44163
394,29.05569
395,28.991655
396,28.627174
397,28.742607
398,28.817171
399,28.793694
400,28.82099
401,28.636408
402,28.967104
403,28.683912
404,28.733593
405,28.707232
406,28.87891
407,28.499619
408,28.950087
409,28.592619
410,28.52603
411,28.273619
412,28.729681
413,28.58023
414,28.327429
415,28.958635
416,28.747791
417,28.467476
418,28.644476
419,28.575714
420,28.681936
421,28.633888
422,28.857477
423,28.86325
424,28.75133
425,28.653244
426,28.543423
427,28.537682
428,28.377125
429,28.465425
430,28.48363
431,28.6256
432,28.724142
433,28.646069
434,28.85429
435,29.100674
436,28.810684
437,28.597733
438,28.691355
439,28.70479
440,28.692533
441,28.84149
442,28.87397
443,28.41755
444,28.592592
445,28.472216
446,28.703072
447,28.674051
448,28.682526
449,28.675697
450,28.645405
451,28.66465
452,28.64695
453,28.274971
454,28.793713
455,28.700283
456,28.574867
457,28.956388
458,28.594294
459,28.956093
460,28.65112
461,28.719074
462,28.41436
463,28.594488
464,28.443872
465,28.645817
466,28.687748
467,28.628994
468,28.506252
469,28.549482
470,28.839325
471,28.823479
472,28.690342
473,28.743774
474,28.511854
475,28.540154
476,28.767403
477,28.529537
478,28.800308
479,28.450754
480,28.67416
481,28.659777
482,28.73696
483,28.55653
484,28.909132
485,29.0576
486,28.769331
487,28.47459
488,28.541897
489,28.305813
490,29.074316
491,28.947132
492,28.611395
493,28.52826
494,28.638487
495,28.587559
496,28.67009
497,28.505949
498,28.45634
499,28.690233
500,28.743605
501,28.595673
502,28.846352
503,28.931473
504,28.757772
505,28.513363
506,28.974192
507,28.539316
508,28.409437
509,28.367292
510,28.542236
511,28.68652
512,28.587076
513,28.683702
514,28.57871
515,28.67506
516,28.818327
517,28.827705
518,28.50153
519,28.810038
520,28.632881
521,28.59505
522,28.8183
523,28.788263
524,29.02847
525,28.725119
526,28.90133
527,28.8416
528,28.950314
529,28.563364
530,28.809868
531,28.778595
532,28.561657
533,29.08164
534,28.56883
535,28.522655
536,28.368515
537,28.500523
538,28.746855
539,28.595884
540,28.573637
541,28.613682
542,28.324278
543,28.60938
544,28.674187
545,28.440828
546,28.717365
547,28.666317
548,28.640024
549,28.496994
550,28.976418
551,28.924055
552,28.579067
553,28.902102
554,28.77663
555,28.49026
556,28.763838
557,28.678482
558,28.596245
559,28.651138
560,28.52986
561,28.976976
562,28.470526
563,28.486155
564,28.964003
565,28.850346
566,28.555704
567,28.75143
568,29.284893
569,28.750523
570,28.683937
571,28.486528
572,28.826086
573,28.902576
574,28.637527
575,28.585978
576,28.712374
577,28.686558
578,29.001001
579,28.628922
580,28.598448
581,28.70115
582,28.825771
583,28.751642
584,28.696863
585,28.821003
586,28.583588
587,28.698471
588,28.857162
589,28.843775
590,28.720997
591,28.705215
592,28.804579
593,28.437109
594,28.807585
595,28.639185
596,28.48082
597,28.55067
598,28.630459
599,28.681446
600,28.293516
601,29.28565
602,28.594574
603,29.03017
604,28.719395
605,28.464714
606,28.698784
607,28.871468
608,28.793434
609,28.350307
610,28.663109
611,28.747301
612,28.642387
613,28.715271
614,28.804
615,28.704187
616,28.512508
617,28.811975
618,28.846378
619,28.588688
620,28.249958
621,28.728088
622,29.04895
623,28.470072
624,28.607529
625,28.501638
626,28.567806
627,28.9
628,28.961306
629,28.869164
630,28.494366
631,28.613424
632,28.849573
633,28.751595
634,28.547394
635,28.856056
636,28.657022
637,28.66304
638,28.511591
639,28.864157
640,28.552233
641,29.129969
642,28.795368
643,28.521076
644,28.953764
645,28.582483
646,28.955498
647,28.664019
648,28.780386
649,29.123817
650,28.79587
651,28.650108
652,28.4891
653,29.126392
654,28.523787
655,28.778967
656,28.924908
657,28.896255
658,28.657057
659,28.341537
660,28.576452
661,28.727543
662,28.593992
663,28.702156
