,0
0,32.681583
1,34.060555
2,32.515427
3,31.978134
4,32.000916
5,30.683569
6,31.451593
7,30.755688
8,30.975784
9,30.627186
10,30.757853
11,30.62472
12,30.798264
13,30.877089
14,31.02074
15,30.84617
16,30.766321
17,30.825043
18,30.915098
19,30.878178
20,30.789202
21,30.762491
22,30.811394
23,30.931496
24,30.812405
25,30.850452
26,30.8121
27,30.793196
28,30.666351
29,30.754475
30,30.743551
31,30.74757
32,30.890182
33,30.58867
34,30.801472
35,30.866854
36,30.84186
37,30.717537
38,30.880033
39,30.664865
40,30.638796
41,30.943075
42,30.736984
43,30.604147
44,30.656807
45,30.735954
46,30.865711
47,30.544207
48,30.811321
49,30.58989
50,30.808172
51,30.72911
52,30.672142
53,30.747753
54,30.85408
55,30.784657
56,30.770864
57,30.7991
58,30.694399
59,31.052448
60,30.531782
61,30.75844
62,30.67337
63,30.660925
64,30.789713
65,30.77035
66,30.913382
67,30.569477
68,30.82395
69,30.628714
70,30.668957
71,30.85832
72,30.908314
73,30.693995
74,30.758858
75,30.777908
76,30.833885
77,30.715729
78,30.67542
79,30.732218
80,30.856287
81,30.702658
82,30.86699
83,30.877462
84,30.846922
85,30.799736
86,30.576757
87,30.790287
88,30.888643
89,30.715244
90,30.742355
91,30.691837
92,30.79572
93,30.654594
94,30.826954
95,30.632393
96,30.780094
97,30.663025
98,30.714375
99,30.69116
100,30.796083
101,30.645782
102,30.92629
103,30.760788
104,30.70717
105,30.758322
106,30.675564
107,30.647507
108,30.801233
109,30.92342
110,30.810242
111,30.659975
112,30.62346
113,30.726866
114,30.607216
115,30.77171
116,30.655167
117,30.729464
118,30.64562
119,30.877563
120,30.633268
121,30.719471
122,30.603086
123,30.700716
124,30.580944
125,30.852097
126,30.958672
127,30.909573
128,30.681696
129,30.646582
130,30.793638
131,30.726793
132,30.742199
133,30.774376
134,30.750479
135,30.827166
136,30.7449
137,30.66525
138,30.701277
139,30.651834
140,30.88372
141,30.807281
142,30.537102
143,30.72891
144,30.586212
145,30.784492
146,31.026453
147,30.79948
148,30.65661
149,30.907614
150,30.60139
151,30.778568
152,30.743053
153,30.722857
154,30.6739
155,30.738117
156,30.682695
157,30.698442
158,30.582624
159,30.817198
160,30.571293
161,30.797348
162,30.712196
163,30.57973
164,30.717949
165,31.055958
166,30.710716
167,30.86214
168,30.905447
169,30.694855
170,30.6057
171,30.874327
172,30.499937
173,30.649342
174,30.952642
175,30.835175
176,30.702063
177,30.823927
178,30.543396
179,30.866657
180,30.66948
181,30.762299
182,30.892757
183,30.927757
184,30.607986
185,30.73387
186,30.680092
187,30.812817
188,30.723402
189,30.678743
190,30.900797
191,30.833586
192,30.740881
193,30.790443
194,30.545275
195,30.755297
196,30.558134
197,30.572659
198,30.702024
199,30.923653
200,30.702583
201,30.776978
202,30.721136
203,30.714966
204,30.497828
205,30.733444
206,30.627321
207,31.123001
208,30.81664
209,30.756638
210,30.877556
211,30.808437
212,30.88649
213,30.635338
214,30.75185
215,30.874737
216,30.730658
217,30.717424
218,30.698826
219,30.817362
220,30.688396
221,30.625946
222,30.653364
223,30.659988
224,30.497438
225,30.906513
226,30.526632
227,30.795347
228,30.765057
229,30.820784
230,30.896587
231,30.809158
232,30.588116
233,30.98613
234,30.704151
235,30.506859
236,30.788525
237,30.785126
238,30.879965
239,30.876749
240,30.626152
241,30.689583
242,30.827766
243,30.763561
244,30.881266
245,30.844498
246,30.892477
247,30.877039
248,30.732977
249,30.733877
250,30.621555
251,30.891544
252,30.802088
253,30.676867
